nvm_seq,flash_page,flash_slot,flash_offset,record_timestamp_ms,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_speed_mps,gps_vel_down_mps,gps_heading_deg,gps_utc_time,gps_num_satellites,gps_fix_type,gps_valid,imu_accel_x_g,imu_accel_y_g,imu_accel_z_g,imu_accel_mag_g,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_valid,baro_pressure_pa,baro_alt_m,baro_temp_c,baro_valid,i2c_bus_state,batt_voltage_mv,batt_valid,coral_block,coral_valid,record_crc16
359,18,17,38632,1705743,48.095680236816406,11.531100273132324,569.0,0.12700000405311584,0.2930000126361847,317.4342956542969,221223,11,3,1,-0.9794921875,-0.102783203125,-0.103515625,0.9902952909469604,-0.6259542107582092,0.1221374049782753,-1.2061069011688232,1,95697.0,437.8714294433594,19.969999313354492,1,0,3763,1,de0b0000ff06020061e3190040000000,1,0xF33A
360,18,18,38736,1735743,48.09566879272461,11.531132698059082,575.0,0.06199999898672104,-0.017999999225139618,0.4450699985027313,221253,11,3,1,-0.975830078125,-0.103515625,-0.1142578125,0.9879345297813416,-0.6717557311058044,0.2671755850315094,-1.2442748546600342,1,95692.0,438.3074035644531,20.020000457763672,1,0,3779,1,e00b0000ff050200596c1a0042000000,1,0xD916
361,19,0,38912,1765783,48.09556579589844,11.531113624572754,559.0,0.6399999856948853,0.21799999475479126,178.79522705078125,221323,10,3,1,-0.971435546875,-0.10205078125,-0.117431640625,0.9838148355484009,-0.7099236845970154,0.09160305559635162,-1.1755725145339966,1,95693.0,438.22021484375,19.950000762939453,1,0,3785,1,e10b0000ff060201b4b01a0043000000,0,0x70B7
362,19,1,39016,1795883,48.09562301635742,11.531145095825195,561.0,0.06300000101327896,0.0729999989271164,245.95997619628906,221354,10,3,1,-0.970458984375,-0.0986328125,-0.116943359375,0.9824432730674744,-0.8091602921485901,0.37404578924179077,-1.198473334312439,1,95686.0,438.8305969238281,19.920000076293945,1,0,3760,1,e30b0000ff0703019a391b0045000000,0,0xE750
363,19,2,39120,1825883,48.095672607421875,11.531147956848145,564.0,0.04600000008940697,-0.00800000037997961,292.906005859375,221424,10,3,1,-0.979736328125,-0.110107421875,-0.11083984375,0.9921150803565979,-0.8167939186096191,0.22900763154029846,-1.160305380821228,1,95692.0,438.3074035644531,19.850000381469727,1,0,3766,1,e50b0000ff0d050080c21b0047000000,1,0xE2DA
364,19,3,39224,1855986,48.0956916809082,11.531177520751953,568.0,0.04600000008940697,-0.028999999165534973,5.182650089263916,221454,10,3,1,-0.972412109375,-0.1015625,-0.107421875,0.9835851192474365,-0.8396946787834167,0.2748091518878937,-1.0916030406951904,0,95690.0,438.4818115234375,19.860000610351562,1,0,3782,1,e70b0000ff040100684b1c0049000000,1,0x6A54
365,19,4,39328,1885994,48.09563446044922,11.531145095825195,560.0,0.11299999803304672,0.026000000536441803,145.74679565429688,221524,13,3,1,-0.975341796875,-0.10009765625,-0.111083984375,0.9867374300956726,-0.7404580116271973,0.06870228797197342,-1.0839694738388062,1,95691.0,438.39459228515625,19.950000762939453,1,0,3760,1,e80b0000ff130701de8f1c004a000000,0,0x9476
366,19,5,39432,1916094,48.09561538696289,11.531140327453613,558.0,0.0560000017285347,-0.0949999988079071,145.74679565429688,221554,12,3,1,-0.97216796875,-0.104736328125,-0.109375,0.9838918447494507,-0.7709923386573792,0.38167938590049744,-1.0763359069824219,0,95687.0,438.7433776855469,20.010000228881836,1,0,3769,1,ea0b0000ff0c0500c2181d004c000000,1,0x28E2
367,19,6,39536,1946135,48.0955924987793,11.531131744384766,559.0,0.05999999865889549,-0.12200000137090683,145.74679565429688,221624,13,3,1,-0.97509765625,-0.09521484375,-0.114990234375,0.9864603877067566,-0.6641221642494202,0.11450381577014923,-1.0916030406951904,1,95693.0,438.22021484375,20.020000457763672,1,0,3756,1,ec0b0000ff100600aca11d004e000000,1,0x015B
368,19,7,39640,1976235,48.09560775756836,11.531086921691895,557.0,0.05400000140070915,0.06499999761581421,221.89727783203125,221654,13,3,1,-0.977294921875,-0.10009765625,-0.108154296875,0.9883431792259216,-0.5419847369194031,0.32824426889419556,-1.0992366075515747,1,95691.0,438.39459228515625,20.06999969482422,1,0,3760,1,ed0b0000ff0903011fe61d004f000000,0,0xFEA6
