elapsed_min,vertical_up_mps,ground_speed_mps,accel_mag_g,accel_mag_max_g
29.875,5.8,15.84,1.014,1.205
29.95833,6.39,18.04,0.939,1.099
30.04167,6.19,16.97,1.0465,1.158
30.125,5.82,14.96,1.019,1.176
30.20833,7.63,16.6,1,1.18
30.29167,5.57,12.89,1.068,1.218
30.375,6.29,18.43,0.9665,1.396
30.45833,5.63,12.34,0.98,1.377
30.54167,5.64,12.59,0.97,1.146
30.625,5.39,17.21,1.011,1.1
30.70833,5.97,18.285,0.9805,1.144
30.79167,6.45,12.36,1.009,1.098
30.875,7.02,17.86,1.056,1.307
30.95833,8.21,14.74,1.0095,1.433
31.04167,6.84,16.31,1.1085,1.462
31.125,7.18,14.98,1.0505,1.127
31.20833,8.95,17.45,0.995,1.157
31.29167,6.05,15.73,0.977,1.176
31.375,5.7,18.78,1.054,1.251
31.45833,6.38,13.4,0.989,1.321
31.54167,4.8,17.01,1.022,1.221
31.625,5.87,18.74,0.968,1.127
31.70833,5.58,19.59,0.983,1.065
31.79167,5.48,18.03,1.006,1.231
31.875,7.07,13.95,1.0015,1.19
31.95833,6.57,19.46,1.0515,1.151
32.04167,6.78,14.71,1.0765,1.324
32.125,6.84,13.98,0.968,1.073
32.20833,7.01,14.94,1.02,1.135
32.29167,6.3,19.97,1.0055,1.092
32.375,6.04,16.76,1.0155,1.075
32.45833,7.61,13.92,1.017,1.125
32.54167,7.19,13.34,1.008,1.191
32.625,6.67,19.62,0.974,1.076
32.70833,6.79,17.27,1.01,1.215
32.79167,6.06,14.87,1.02,1.086
32.875,6.82,14.06,0.971,1.149
32.95833,6.31,16.03,1.0425,1.144
33.04167,6.91,20.08,1.019,1.147
33.125,7.03,17.41,1.024,1.284
33.20833,7.22,17.67,1.038,1.179
33.29167,6.04,16.03,0.939,1.282
33.375,6.98,19.07,1.025,1.204
33.45833,6.79,21.41,0.961,1.219
33.54167,6.23,21.71,1.003,1.108
33.625,7.91,18.53,1.065,1.172
33.70833,6.31,25.84,0.978,1.093
33.79167,6.45,18.38,1.045,1.184
33.875,7.34,23.35,0.9575,1.129
33.95833,6.84,22.19,1.036,1.156
34.04167,6.41,21.09,1.019,1.18
34.125,7.33,23.95,1.01,1.195
34.20833,5.34,19.3,0.995,1.041
34.29167,7.01,22.67,1.0475,1.18
34.375,5.83,25.58,1.0255,1.239
34.45833,8.41,22.65,1.016,1.121
34.54167,5.66,19.21,1.0495,1.272
34.625,5.88,20.89,0.977,1.169
34.70833,6.24,21.08,1.029,1.242
34.79167,6.47,19.16,1.027,1.196
34.875,6.52,24.17,0.9665,1.272
34.95833,7.1,27.37,1.023,1.197
35.04167,6.39,21.16,1.004,1.144
35.125,5.96,23.27,1.036,1.169
35.20833,5.44,21.74,1.0115,1.095
35.29167,6.29,19.89,0.9935,1.121
35.375,6.46,26.21,1.001,1.111
35.45833,6.47,23.6,0.981,1.237
35.54167,8.05,22.64,1.057,1.285
35.625,5.34,19.68,1.04,1.162
35.70833,5.74,26.51,0.979,1.05
35.79167,4.95,28.01,1.0775,1.204
35.875,8.17,24.76,0.985,1.085
35.95833,4.98,20.94,0.9885,1.197
36.04167,4.71,23.75,1.003,1.128
36.125,5.55,24.27,0.988,1.155
36.20833,5.46,26.3,1.075,1.213
36.29167,8.25,23.11,0.9925,1.082
36.375,5.64,28.7,0.993,1.088
36.45833,6.26,26.51,1.0325,1.092
36.54167,6.63,22.17,1.053,1.27
36.625,6.57,23.87,1.0435,1.093
36.70833,8.08,24.33,1.007,1.055
36.79167,7.77,28.28,0.929,1.036
36.875,4.35,26.04,1.0895,1.265
36.95833,7.43,24.61,0.957,1.199
37.04167,6.23,21.92,0.9895,1.098
37.125,5.76,24.52,0.989,1.184
37.20833,7.35,25.09,1.0605,1.252
37.29167,6.17,24.18,0.96,1.051
37.375,6.97,21.73,1.05,1.201
37.45833,4.96,26.71,0.991,1.14
37.54167,4.31,28.31,0.9805,1.041
37.625,4.8,28.07,1.031,1.113
37.70833,6.01,22.69,1.0125,1.181
37.79167,7.09,26.71,0.989,1.307
37.875,6.8,27.67,1.0265,1.161
37.95833,6.68,23.45,1.0155,1.129
38.04167,6.3,23.38,1.025,1.196
38.125,7.25,25.89,1.026,1.121
38.20833,5.89,20.34,0.9755,1.078
38.29167,5.92,21.02,0.9895,1.128
38.375,7.69,25.52,0.976,1.282
38.45833,5.16,26.68,1.007,1.151
38.54167,5,26.4,1.005,1.078
38.625,4.53,29.57,0.9545,1.05
38.70833,5.46,29.73,1.027,1.087
38.79167,5.87,24.16,1.021,1.101
38.875,6.36,25.73,1.0005,1.149
38.95833,8.47,27.69,1.0565,1.175
39.04167,7.74,24.19,1.0385,1.204
39.125,8.84,25.05,1.011,1.16
39.20833,6.76,31.57,1.0295,1.405
39.29167,6.79,27.18,0.982,1.123
39.375,5.09,24.72,1.0125,1.191
39.45833,6.34,27.3,0.937,1.052
39.54167,5.76,28.69,1.066,1.14
39.625,4.79,32.27,0.927,1.187
39.70833,6.53,28.16,1.055,1.206
39.79167,7.74,26.07,1.0875,1.369
39.875,7.27,29.71,0.989,1.325
39.95833,4.95,28.77,0.9665,1.11
40.04167,4.67,29.31,1.0585,1.235
40.125,6.26,25.64,1.0295,1.286
40.20833,7.73,25.1,0.958,1.125
40.29167,7.03,29.39,1.0455,1.249
40.375,6.33,31.41,0.9945,1.075
40.45833,6.07,31.38,1.006,1.161
40.54167,6.42,29.58,1.0225,1.256
40.625,5.51,24.9,0.928,1.092
40.70833,4.8,25.89,1.044,1.2
40.79167,5.36,23.93,1.029,1.295
40.875,7.78,24.88,1.02,1.156
40.95833,5.47,28.28,0.93,1.106
