elapsed_min,gps_alt_km,baro_alt_km,phase
36.54167,9.941,8.93277,2
36.625,9.974,8.9641,2
36.70833,10.01,8.9974,2
36.79167,10.052,9.03945,2
36.875,10.076,9.06044,2
36.95833,10.109,9.09484,2
37.04167,10.144,9.12515,2
37.125,10.175,9.15675,2
37.20833,10.204,9.18373,2
37.29167,10.242,9.22176,2
37.375,10.268,9.24537,2
37.45833,10.3,9.27624,2
37.54167,10.323,9.30098,2
37.625,10.345,9.32242,2
37.70833,10.373,9.3485,2
37.79167,10.408,9.37953,2
37.875,10.441,9.41165,2
37.95833,10.473,9.44292,2
38.04167,10.505,9.47321,2
38.125,10.538,9.50533,2
38.20833,10.57,9.53573,2
38.29167,10.598,9.56252,2
38.375,10.63,9.5945,2
38.45833,10.662,9.62461,2
38.54167,10.686,9.64668,2
38.625,10.712,9.67383,2
38.70833,10.734,9.69476,2
38.79167,10.763,9.72285,2
38.875,10.794,9.75459,2
38.95833,10.828,9.7862,2
39.04167,10.869,9.83129,2
39.125,10.908,9.8663,2
39.20833,10.945,9.9025,2
39.29167,10.98,9.93757,2
39.375,11.008,9.96495,2
39.45833,11.038,9.99426,2
39.54167,11.063,10.01684,2
39.625,11.094,10.04951,2
39.70833,11.12,10.0704,2
39.79167,11.154,10.10648,2
39.875,11.192,10.14006,2
39.95833,11.221,10.17029,2
40.04167,11.245,10.19231,2
40.125,11.274,10.21896,2
40.20833,11.307,10.25627,2
40.29167,11.339,10.28832,2
40.375,11.374,10.32022,2
40.45833,11.405,10.35005,2
40.54167,11.436,10.38138,2
40.625,11.472,10.41394,2
40.70833,11.494,10.43415,2
40.79167,11.522,10.46358,2
40.875,11.552,10.49481,2
40.95833,11.589,10.52981,2
41.04167,11.613,10.55651,2
41.125,11.652,10.5915,2
41.20833,11.696,10.63546,2
41.29167,11.719,10.6514,2
41.375,11.749,10.68653,2
41.45833,11.772,10.70861,2
41.54167,11.802,10.73536,2
41.625,11.83,10.7645,2
41.70833,11.857,10.78941,2
41.79167,11.887,10.81993,2
41.875,11.922,10.85204,2
41.95833,11.957,10.89162,2
42.04167,11.995,10.92653,2
42.125,12.032,10.96189,2
42.20833,12.06,10.98923,2
42.29167,12.083,11.01039,2
42.375,12.116,11.04599,2
42.45833,12.162,11.0893,2
42.54167,12.207,11.13618,2
42.625,12.232,11.15745,2
42.70833,12.258,11.18274,2
42.79167,12.284,11.20782,2
42.875,12.309,11.2342,2
42.95833,12.337,11.26098,2
43.04167,12.362,11.28352,2
43.125,12.403,11.32446,2
43.20833,12.429,11.35094,2
43.29167,12.451,11.3725,2
43.375,12.482,11.40385,2
43.45833,12.525,11.44481,2
43.54167,12.567,11.48503,2
43.625,12.59,11.50443,2
43.70833,12.618,11.52994,2
43.79167,12.65,11.56388,2
43.875,12.68,11.59153,2
43.95833,12.703,11.61539,2
44.04167,12.728,11.63999,2
44.125,12.755,11.66824,2
44.20833,12.783,11.69529,2
44.29167,12.808,11.71916,2
44.375,12.85,11.76252,2
44.45833,12.875,11.78462,2
44.54167,12.906,11.81607,2
44.625,12.934,11.83967,2
