elapsed_min,sequence,cloud_fraction_percent,status,valid
108.96314,809,38.6709,0,1
109.24677,810,1.9516,0,1
109.53333,811,1.561,0,1
109.82383,812,2.7329,0,1
110.11063,813,7.4205,0,1
110.3968,814,6.2486,0,1
110.73798,814,6.2486,1,0
110.86892,815,3.5142,0,1
111.15776,816,3.1235,0,1
111.44312,816,3.1235,1,1
111.72581,818,10.1549,0,1
112.01441,819,23.827,0,1
112.29602,820,1.9516,0,1
112.58808,821,38.6709,0,1
112.87327,822,1.1704,0,1
113.16074,823,17.5769,0,1
113.44713,824,0.3891,0,1
113.75,825,4.686,0,1
114.0288,826,0.7797,0,1
114.31667,827,48.0461,0,1
114.59499,828,4.2954,0,1
114.88333,829,3.1235,0,1
115.16667,830,2.7329,0,1
115.45,831,2.3423,0,1
115.73333,832,2.3423,0,1
116.01667,833,1.9516,0,1
116.29521,834,28.5145,0,1
116.58333,835,3.1235,0,1
116.86667,836,12.4987,0,1
117.15346,837,0.3891,0,1
117.4314,838,0.3891,0,1
117.71667,839,18.7488,0,1
118,840,1.561,0,1
118.28545,841,2.3423,0,1
118.569,842,2.3423,0,1
118.85232,843,10.9361,0,1
119.13732,844,3.5142,0,1
119.42425,845,1.9516,0,1
119.70884,846,0.3891,0,1
119.99293,847,22.6551,0,1
120.27742,848,8.983,0,1
120.56109,849,1.561,0,1
120.84279,850,6.6392,0,1
121.13046,851,5.4673,0,1
121.41143,852,13.6706,0,1
121.7,853,1.9516,0,1
121.98333,854,3.9048,0,1
122.26667,855,18.7488,0,1
122.55,856,10.1549,0,1
122.84089,857,16.405,0,1
123.12063,858,0,0,1
123.40637,859,33.2021,0,1
123.69587,860,16.405,0,1
123.97544,861,16.405,0,1
124.26667,862,2.7329,0,1
124.54531,863,18.7488,0,1
124.83333,864,15.6237,0,1
125.12473,865,17.5769,0,1
125.40607,866,15.6237,0,1
125.6948,867,12.4987,0,1
125.97771,868,8.2017,0,1
126.26253,869,11.7174,0,1
126.54808,870,10.9361,0,1
126.83786,871,28.5145,0,1
127.12461,872,21.0925,0,1
127.41067,873,13.6706,0,1
127.7,874,1.1704,0,1
127.98333,875,13.6706,0,1
128.26667,876,8.2017,0,1
128.55354,877,16.405,0,1
128.8439,878,7.4205,0,1
129.12628,879,17.5769,0,1
129.41667,880,5.4673,0,1
129.7,881,5.4673,0,1
129.98693,882,8.983,0,1
130.27418,883,6.2486,0,1
130.55979,884,8.983,0,1
130.84575,885,1.1704,0,1
131.13939,886,5.0767,0,1
131.42921,887,2.7329,0,1
131.70946,888,36.7178,0,1
132.01667,889,31.6396,0,1
132.355,889,31.6396,1,0
132.48825,890,5.8579,0,1
132.77166,891,8.2017,0,1
133.06034,892,6.2486,0,1
133.3359,893,5.0767,0,1
133.62574,894,8.2017,0,1
133.90388,895,12.4987,0,1
134.19176,896,6.6392,0,1
134.47661,897,23.827,0,1
134.75735,898,4.686,0,1
135.04064,899,10.9361,0,1
135.32417,900,21.0925,0,1
135.605,901,10.9361,0,1
135.88891,902,4.686,0,1
136.17644,903,6.6392,0,1
136.45808,904,7.4205,0,1
136.74251,905,0.7797,0,1
137.02621,906,15.6237,0,1
137.31044,907,3.1235,0,1
137.59552,908,7.4205,0,1
137.88333,909,2.3423,0,1
138.16294,910,18.7488,0,1
138.44634,911,1.9516,0,1
138.73333,912,3.9048,0,1
139.01667,913,0.3891,0,1
139.3072,914,6.6392,0,1
139.59151,915,0.3891,0,1
139.8772,916,1.1704,0,1
140.15705,917,4.2954,0,1
140.44353,918,0.7797,0,1
140.72536,919,1.9516,0,1
141.01182,920,8.2017,0,1
141.3,921,4.2954,0,1
141.58333,922,12.4987,0,1
141.86667,923,6.2486,0,1
142.15414,924,13.6706,0,1
142.44022,925,51.9524,0,1
142.65,0,0,0,0
143.01314,926,5.4673,0,1
143.32724,927,17.5769,0,1
143.61455,928,15.6237,0,1
143.9,929,0.3891,0,1
144.18561,930,2.3423,0,1
144.47757,931,11.7174,0,1
144.76481,932,0.3891,0,1
145.0538,933,4.686,0,1
145.33993,934,4.686,0,1
145.62629,935,2.3423,0,1
145.91319,936,1.1704,0,1
146.2022,937,1.9516,0,1
146.49268,938,1.561,0,1
146.78158,939,0.3891,0,1
147.06667,940,5.4673,0,1
147.35,941,1.9516,0,1
147.63604,942,11.7174,0,1
147.92911,943,7.8111,0,1
148.21667,944,3.9048,0,1
148.5,945,13.6706,0,1
148.79063,946,10.1549,0,1
149.12381,946,10.1549,1,0
149.2628,947,5.8579,0,1
149.55,948,4.686,0,1
149.84186,949,5.0767,0,1
150.12316,950,2.7329,0,1
150.41413,951,1.9516,0,1
150.69553,952,4.2954,0,1
151.00552,953,9.7642,0,1
151.28902,954,7.8111,0,1
151.57381,955,17.5769,0,1
151.85671,956,11.7174,0,1
152.13478,957,6.6392,0,1
152.41923,958,10.1549,0,1
152.70226,959,5.8579,0,1
152.98691,960,9.7642,0,1
153.27152,961,11.7174,0,1
153.55528,962,3.9048,0,1
153.84205,963,8.983,0,1
154.12506,964,3.1235,0,1
154.40691,965,8.2017,0,1
154.69463,966,8.983,0,1
154.97651,967,14.4518,0,1
155.26156,968,8.2017,0,1
155.54836,969,10.9361,0,1
155.83333,970,5.0767,0,1
156.11667,971,5.0767,0,1
156.39717,972,6.6392,0,1
156.68333,973,0,0,1
156.97152,974,8.2017,0,1
157.25653,975,3.1235,0,1
157.54081,976,3.1235,0,1
157.82736,977,2.3423,0,1
158.11028,978,1.561,0,1
158.40525,979,0.3891,0,1
158.69188,980,4.686,0,1
158.97525,981,0.3891,0,1
159.26229,982,0.3891,0,1
159.55176,983,4.2954,0,1
159.83995,984,4.2954,0,1
160.12819,985,12.4987,0,1
160.42241,986,0.3891,0,1
160.70592,987,0.7797,0,1
161,988,4.2954,0,1
161.3,989,9.7642,0,1
161.58333,990,0,0,1
161.8699,991,0.7797,0,1
162.15898,992,2.7329,0,1
162.45,993,2.7329,0,1
162.74157,994,1.9516,0,1
163.02777,995,0.7797,0,1
163.31845,996,0.7797,0,1
163.60626,997,5.4673,0,1
163.8967,998,2.7329,0,1
164.18005,999,8.983,0,1
164.47125,1000,8.2017,0,1
164.75786,1001,4.686,0,1
165.04203,1002,4.2954,0,1
165.33333,1003,5.8579,0,1
165.61667,1004,4.686,0,1
165.90908,1005,3.1235,0,1
166.19633,1006,6.2486,0,1
166.48333,1007,8.983,0,1
166.76667,1008,7.4205,0,1
167.05964,1009,5.4673,0,1
167.34729,1010,8.983,0,1
167.62461,1011,4.686,0,1
167.96852,1011,4.686,1,0
168.12175,1012,3.9048,0,1
168.4146,1013,7.8111,0,1
168.69008,1014,4.2954,0,1
168.98333,1015,5.0767,0,1
169.27524,1016,5.4673,0,1
169.58081,1017,10.9361,0,1
169.86667,1018,5.0767,0,1
170.15,1019,7.4205,0,1
170.43333,1020,5.4673,0,1
170.71667,1021,4.2954,0,1
170.99379,1022,7.8111,0,1
171.28025,1023,4.686,0,1
171.56508,1024,5.4673,0,1
171.85,1025,3.1235,0,1
172.13333,1026,4.686,0,1
172.4204,1027,9.7642,0,1
172.7,1028,5.4673,0,1
172.98697,1029,5.8579,0,1
173.2736,1030,4.686,0,1
173.55553,1031,3.5142,0,1
173.84046,1032,3.9048,0,1
174.12863,1033,6.2486,0,1
174.41115,1034,7.4205,0,1
174.69393,1035,6.2486,0,1
174.98007,1036,2.7329,0,1
