elapsed_min,latitude_deg,longitude_deg,altitude_km,map_x,map_y
177.25,47.8794848,11.6921752,0.695,1090.5154856,-712.9377386
177.41667,47.8794816,11.6921816,0.697,1090.515522,-712.9377658
177.58333,47.8794784,11.6921848,0.698,1090.5155402,-712.9377929
177.75,47.8794784,11.6921896,0.696,1090.5155675,-712.9377929
177.91667,47.8794816,11.6921936,0.695,1090.5155903,-712.9377658
178.08333,47.8794816,11.6921928,0.696,1090.5155857,-712.9377658
178.25,47.8794784,11.6921912,0.696,1090.5155766,-712.9377929
178.41667,47.8794784,11.692192,0.696,1090.5155812,-712.9377929
178.58333,47.8794784,11.6921904,0.696,1090.5155721,-712.9377929
178.75,47.8794784,11.6921904,0.696,1090.5155721,-712.9377929
178.91667,47.8794784,11.6921808,0.697,1090.5155174,-712.9377929
179.08333,47.8794816,11.692172,0.696,1090.5154674,-712.9377658
179.25,47.8794784,11.692172,0.695,1090.5154674,-712.9377929
179.41667,47.8794784,11.692176,0.695,1090.5154901,-712.9377929
179.58333,47.8794784,11.692176,0.694,1090.5154901,-712.9377929
179.75,47.8794816,11.6921776,0.692,1090.5154992,-712.9377658
179.91667,47.8794816,11.69218,0.691,1090.5155129,-712.9377658
180.08333,47.8794816,11.69218,0.691,1090.5155129,-712.9377658
180.25,47.8794752,11.6921852,0.692,1090.5155425,-712.9378201
180.41667,47.8794752,11.692188,0.691,1090.5155584,-712.9378201
180.58333,47.8794784,11.6921872,0.691,1090.5155538,-712.9377929
180.75,47.8794784,11.692188,0.691,1090.5155584,-712.9377929
180.91667,47.8794752,11.6921968,0.691,1090.5156085,-712.9378201
181.08333,47.8794752,11.6921968,0.692,1090.5156085,-712.9378201
181.25,47.8794752,11.6921972,0.692,1090.5156107,-712.9378201
181.41667,47.8794768,11.6921944,0.693,1090.5155948,-712.9378065
181.58333,47.8794848,11.6921808,0.693,1090.5155174,-712.9377386
181.75,47.8794912,11.6921808,0.692,1090.5155174,-712.9376844
181.91667,47.8794912,11.692176,0.692,1090.5154901,-712.9376844
182.08333,47.8794912,11.692172,0.694,1090.5154674,-712.9376844
182.25,47.8794912,11.6921712,0.694,1090.5154628,-712.9376844
182.41667,47.8794944,11.6921728,0.6945,1090.5154719,-712.9376572
182.58333,47.8794944,11.692176,0.694,1090.5154901,-712.9376572
182.75,47.8794944,11.6921768,0.694,1090.5154947,-712.9376572
182.91667,47.8794944,11.6921808,0.694,1090.5155174,-712.9376572
183.08333,47.8794944,11.6921808,0.694,1090.5155174,-712.9376572
