elapsed_min,battery_v,battery_min_v,battery_max_v,coral_fault
12.98333,3.9405,3.926,3.955,0
13.01667,3.942,3.926,3.955,0
13.05,3.942,3.926,3.955,0
13.08333,3.934,3.891,3.955,0
13.11667,3.934,3.913,3.952,0
13.15,3.945,3.926,3.958,0
13.18333,3.945,3.929,3.958,0
13.21667,3.942,3.939,3.948,0
13.25,3.942,3.894,3.958,0
13.28333,3.942,3.916,3.958,0
13.31667,3.942,3.932,3.952,0
13.35,3.942,3.923,3.955,0
13.38333,3.939,3.92,3.955,0
13.41667,3.942,3.836,3.958,0
13.45,3.948,3.923,3.958,0
13.48333,3.942,3.929,3.958,0
13.51667,3.942,3.926,3.955,0
13.55,3.942,3.923,3.952,0
13.58333,3.9405,3.865,3.955,0
13.61667,3.945,3.929,3.955,0
13.65,3.939,3.91,3.955,0
13.68333,3.939,3.929,3.952,0
13.71667,3.942,3.916,3.968,0
13.75,3.936,3.872,3.955,0
13.78333,3.942,3.92,3.958,0
13.81667,3.942,3.929,3.964,0
13.85,3.942,3.923,3.958,0
13.88333,3.9405,3.926,3.955,0
13.91667,3.942,3.926,3.955,0
13.95,3.936,3.856,3.955,0
13.98333,3.942,3.926,3.958,0
14.01667,3.942,3.916,3.964,0
14.05,3.9435,3.916,3.955,0
14.08333,3.942,3.929,3.955,0
14.11667,3.942,3.904,3.948,0
14.15,3.942,3.916,3.958,0
14.18333,3.939,3.926,3.955,0
14.21667,3.942,3.929,3.968,0
14.25,3.939,3.923,3.945,0
14.28333,3.942,3.904,3.952,0
14.31667,3.9435,3.926,3.961,0
14.35,3.942,3.929,3.958,0
14.38333,3.942,3.936,3.961,0
14.41667,3.942,3.926,3.955,0
14.45,3.942,3.904,3.955,0
14.48333,3.942,3.926,3.955,0
14.51667,3.942,3.916,3.955,0
14.55,3.9375,3.849,3.948,0
14.58333,3.948,3.926,3.958,0
14.61667,3.9405,3.916,3.958,0
14.65,3.932,3.891,3.952,0
14.68333,3.942,3.926,3.955,0
14.71667,3.942,3.926,3.952,0
14.75,3.936,3.926,3.952,0
14.78333,3.942,3.929,3.955,0
14.81667,3.936,3.888,3.952,0
14.85,3.9405,3.904,3.955,0
14.88333,3.9435,3.926,3.955,0
14.91667,3.942,3.923,3.961,0
14.95,3.942,3.92,3.961,0
14.98333,3.936,3.891,3.952,0
15.01667,3.939,3.929,3.948,0
15.05,3.942,3.926,3.955,0
15.08333,3.939,3.916,3.958,0
15.11667,3.932,3.916,3.945,0
15.15,3.942,3.868,3.955,0
15.18333,3.942,3.923,3.952,0
15.21667,3.939,3.92,3.964,0
15.25,3.9405,3.929,3.955,0
15.28333,3.942,3.929,3.955,0
15.31667,3.942,3.891,3.955,0
15.35,3.942,3.926,3.955,0
15.38333,3.9375,3.923,3.948,0
15.41667,3.9435,3.904,3.955,0
15.45,3.9435,3.923,3.958,0
15.48333,3.942,3.881,3.961,0
15.51667,3.939,3.904,3.948,0
15.55,3.942,3.926,3.955,0
15.58333,3.939,3.926,3.955,0
15.61667,3.936,3.884,3.964,0
15.65,3.942,3.91,3.955,0
15.68333,3.936,3.91,3.945,0
15.71667,3.942,3.916,3.958,0
15.75,3.939,3.916,3.948,0
15.78333,3.936,3.878,3.952,0
15.81667,3.939,3.929,3.952,0
15.85,3.939,3.923,3.955,0
15.88333,3.942,3.916,3.955,0
15.91667,3.942,3.92,3.948,0
15.95,3.936,3.868,3.958,0
15.98333,3.932,3.913,3.948,0
16.01667,3.939,3.916,3.955,0
16.05,3.936,3.897,3.958,0
16.08333,3.942,3.926,3.952,0
16.11667,3.936,3.878,3.955,0
16.15,3.9405,3.926,3.952,0
16.18333,3.942,3.92,3.961,0
16.21667,3.942,3.929,3.958,0
16.25,3.936,3.916,3.958,0
16.28333,3.936,3.91,3.948,0
16.31667,3.939,3.888,3.952,0
16.35,3.942,3.916,3.961,0
16.38333,3.936,3.926,3.952,0
16.41667,3.9405,3.92,3.955,0
16.45,3.942,3.926,3.958,0
16.48333,3.942,3.907,3.952,0
16.51667,3.939,3.904,3.948,0
16.55,3.936,3.92,3.955,0
16.58333,3.942,3.913,3.958,0
16.61667,3.9405,3.916,3.955,0
16.65,3.929,3.888,3.945,0
16.68333,3.942,3.923,3.958,0
16.71667,3.9375,3.891,3.948,0
16.75,3.9405,3.907,3.952,0
16.78333,3.942,3.92,3.955,0
16.81667,3.9375,3.916,3.955,0
16.85,3.939,3.92,3.945,0
16.88333,3.942,3.92,3.958,0
16.91667,3.936,3.891,3.952,0
16.95,3.9405,3.923,3.958,0
16.98333,3.9375,3.926,3.952,0
17.01667,3.942,3.916,3.952,0
17.05,3.9405,3.929,3.955,0
17.08333,3.942,3.891,3.952,0
17.11667,3.934,3.91,3.961,0
17.15,3.939,3.916,4.035,0
17.18333,3.942,3.92,3.955,0
17.21667,3.942,3.897,3.955,0
17.25,3.939,3.891,3.948,0
17.28333,3.942,3.926,3.952,0
17.31667,3.942,3.929,3.955,0
17.35,3.942,3.929,3.952,0
17.38333,3.929,3.916,3.948,0
17.41667,3.929,3.868,3.942,0
17.45,3.942,3.891,3.958,0
17.48333,3.939,3.9,3.955,0
17.51667,3.942,3.926,3.955,0
17.55,3.9375,3.916,3.952,0
17.58333,3.936,3.884,3.948,0
17.61667,3.939,3.916,3.955,0
17.65,3.942,3.923,3.952,0
17.68333,3.936,3.92,3.942,0
17.71667,3.9405,3.916,3.955,0
17.75,3.932,3.881,3.961,0
17.78333,3.939,3.926,3.955,0
17.81667,3.936,3.926,3.958,0
17.85,3.939,3.923,3.952,0
17.88333,3.942,3.926,3.955,0
17.91667,3.936,3.907,3.952,0
17.95,3.9305,3.884,3.948,0
17.98333,3.9375,3.897,3.961,0
18.01667,3.9375,3.923,3.955,0
18.05,3.942,3.913,3.952,0
18.08333,3.936,3.926,3.945,0
18.11667,3.936,3.878,3.952,0
18.15,3.936,3.923,3.955,0
18.18333,3.9405,3.926,3.955,0
18.21667,3.9405,3.929,3.955,0
18.25,3.936,3.913,3.945,0
18.28333,3.934,3.881,3.955,0
18.31667,3.9405,3.916,3.958,0
18.35,3.942,3.91,3.955,0
18.38333,3.939,3.926,3.952,0
18.41667,3.936,3.916,3.948,0
18.45,3.932,3.878,3.955,0
18.48333,3.936,3.926,3.952,0
18.51667,3.936,3.916,3.958,0
18.55,3.934,3.91,3.942,0
18.58333,3.9405,3.881,3.952,0
18.61667,3.939,3.628,3.955,0
18.65,3.936,3.878,3.955,0
18.68333,3.942,3.929,3.948,0
18.71667,3.939,3.929,3.952,0
18.75,3.9375,3.923,3.958,0
18.78333,3.939,3.926,3.955,0
18.81667,3.929,3.891,3.945,0
18.85,3.936,3.91,3.952,0
18.88333,3.942,3.916,3.958,0
18.91667,3.942,3.916,3.955,0
18.95,3.939,3.929,3.955,0
18.98333,3.934,3.888,3.961,0
19.01667,3.936,3.923,3.945,0
19.05,3.936,3.926,3.952,0
19.08333,3.936,3.907,3.955,0
19.11667,3.932,3.904,3.955,0
19.15,3.934,3.865,3.961,0
19.18333,3.9375,3.916,3.958,0
19.21667,3.929,3.916,3.955,0
19.25,3.939,3.916,3.955,0
19.28333,3.934,3.923,3.945,0
19.31667,3.936,3.881,3.968,0
19.35,3.936,3.929,3.955,0
19.38333,3.932,3.916,3.952,0
19.41667,3.929,3.92,3.961,0
19.45,3.9375,3.916,3.952,0
19.48333,3.9305,3.884,3.952,0
19.51667,3.934,3.926,3.952,0
19.55,3.939,3.929,3.952,0
19.58333,3.939,3.926,3.952,0
19.61667,3.932,3.926,3.945,0
19.65,3.936,3.891,3.952,0
19.68333,3.932,3.878,3.942,0
19.71667,3.936,3.92,3.952,0
19.75,3.936,3.923,3.945,0
19.78333,3.936,3.929,3.952,0
19.81667,3.9375,3.929,3.945,0
19.85,3.936,3.881,3.952,0
19.88333,3.929,3.907,3.964,0
19.91667,3.942,3.923,3.98,1
19.95,3.9375,3.916,3.952,1
19.98333,3.936,3.926,3.952,1
20.01667,3.939,3.891,3.952,0
20.05,3.9325,3.916,3.968,0
20.08333,3.939,3.923,3.948,0
20.11667,3.9405,3.923,3.948,0
20.15,3.932,3.923,3.942,0
20.18333,3.934,3.9,3.952,0
20.21667,3.9375,3.916,3.952,0
20.25,3.939,3.913,3.952,0
20.28333,3.936,3.929,3.952,0
20.31667,3.932,3.916,3.948,0
20.35,3.934,3.884,3.955,0
20.38333,3.939,3.916,3.945,0
20.41667,3.932,3.92,3.945,0
